Port/Protocol	Count
12,rdp	39
8,dccp	34
0,ipip	34
11,cbt	44
10,dccp	34
18,mfe-nsp	32
6,bna	40
8,rsvp-e2e-ignore	40
6,sprite-rpc	39
13,idpr	32
3,ddp	43
1,iatp	41
16,ipv6-opts	33
18,crudp	37
10,kryptolan	40
7,qnx	36
3,ddx	33
18,vrrp	30
10,ah	35
17,pvp	39
19,dgp	29
14,sat-expak	34
2,nsh	39
15,a/n	26
1,skip	38
4,mfe-nsp	34
9,igp	32
3,iso-ip	29
12,ifmp	37
3,udp	43
17,tp++	38
11,tcf	28
11,tcp	35
19,encap	28
18,ipv6-icmp	43
16,rvd	31
2,chaos	32
1,ptp	27
1,irtp	39
14,wb-expak	30
17,swipe (deprecated)	40
3,sun-nd	36
17,pup	31
15,hopopt	43
16,vmtp	51
5,ipx-in-ip	28
8,skip	41
6,ipv6-frag	31
5,sat-expak	34
10,irtp	44
15,secure-vmtp	41
1,kryptolan	32
4,idrp	32
5,sscopmce	34
17,secure-vmtp	27
13,pgm	27
6,sps	32
3,i-nlsp	32
17,manet	38
19,hmp	31
10,igp	27
11,vrrp	27
19,secure-vmtp	51
13,idrp	47
7,mfe-nsp	42
3,ah	25
7,ipcv	34
7,ipv6-opts	40
13,crudp	50
11,ggp	23
11,cftp	33
15,cpnx	24
9,vrrp	34
12,manet	40
9,cftp	42
0,iplt	32
6,cpnx	30
4,rsvp	37
12,egp	31
18,ipv6	38
3,hip	41
18,ipv4	24
17,dccp	31
8,irtp	38
14,encap	29
6,srp	30
10,skip	38
11,micp (deprecated)	27
1,prm	27
18,iptm	24
8,eigrp	38
13,shim6	38
0,merit-inp	29
1,xnet	28
1,a/n	36
13,isis over ipv4	29
16,crtp	28
12,mfe-nsp	30
15,micp (deprecated)	35
11,vines	37
9,mtp	39
16,narp	31
15,pim	33
9,iptm	41
10,mux	41
17,sscopmce	37
9,ipv4	40
14,ethernet	36
7,ipip	39
9,ipv6	37
9,wb-mon	41
17,prm	38
19,ddx	35
14,gmtp	42
8,iatp	48
15,idpr-cmtp	43
17,il	31
11,tlsp	41
7,wb-expak	44
12,xns-idp	32
17,emcon	40
5,uti	34
14,ipx-in-ip	31
2,cftp	28
0,visa	30
6,stp	34
12,netblt	33
4,swipe (deprecated)	37
19,ddp	38
16,igmp	37
0,icmp	31
3,swipe (deprecated)	43
0,esp	43
18,cftp	34
10,sun-nd	40
