destport,protocol,tag
12,compaq-peer,tag1
2,rsvp-e2e-ignore,tag5
2,mux,tag5
18,sat-mon,tag1
6,dsr,tag3
7,ptp,tag9
9,iso-ip,tag10
11,sscopmce,tag6
2,rdp,tag3
11,leaf-1,tag8
7,encap,tag5
8,cphb,tag4
15,manet,tag3
16,bbn-rcc-mon,tag1
15,ospfigp,tag2
13,mtp,tag9
10,rdp,tag5
13,il,tag6
1,rvd,tag1
3,uti,tag7
16,crtp,tag3
19,cbt,tag1
7,st,tag10
2,rvd,tag4
7,ipcomp,tag1
16,vines,tag9
19,visa,tag5
19,compaq-peer,tag7
12,isis over ipv4,tag8
19,i-nlsp,tag3
1,rvd,tag4
15,esp,tag8
11,idrp,tag2
10,xtp,tag6
18,dcn-meas,tag10
17,vrrp,tag9
15,rvd,tag6
14,micp (deprecated),tag10
8,xtp,tag5
14,irtp,tag2
11,rohc,tag4
8,esp,tag4
11,ospfigp,tag2
15,etherip,tag7
13,trunk-1,tag7
16,ggp,tag2
7,sscopmce,tag7
18,ippc,tag2
0,tcp,tag10
5,iso-tp4,tag6
15,pgm,tag7
18,compaq-peer,tag5
9,snp,tag2
5,nvp-ii,tag7
7,secure-vmtp,tag6
17,rohc,tag3
15,manet,tag8
6,rdp,tag8
3,ippc,tag7
11,secure-vmtp,tag6
4,sat-expak,tag1
5,ddx,tag10
6,dcn-meas,tag5
12,rdp,tag4
2,ipip,tag10
5,wb-mon,tag7
9,chaos,tag3
2,udplite,tag6
1,gre,tag9
12,kryptolan,tag8
4,ah,tag1
1,egp,tag7
11,netblt,tag9
12,3pc,tag9
19,xns-idp,tag2
3,gre,tag10
15,bbn-rcc-mon,tag10
3,dsr,tag4
2,iplt,tag8
17,ipv6-nonxt,tag6
16,chaos,tag4
8,wb-expak,tag8
7,trunk-1,tag7
1,wsn,tag9
2,pipe,tag3
6,ax.25,tag4
17,isis over ipv4,tag1
10,iso-tp4,tag3
11,wb-expak,tag6
12,ipip,tag3
8,br-sat-mon,tag2
9,stp,tag5
5,wsn,tag3
4,iso-ip,tag5
1,iso-ip,tag4
9,ptp,tag2
5,udp,tag3
4,ipcomp,tag3
