destport,protocol,tag
4,udp,tag10
12,st,tag10
7,rohc,tag8
16,skip,tag10
9,irtp,tag9
13,iso-ip,tag4
16,uti,tag3
13,wsn,tag6
15,ax.25,tag5
19,esp,tag6
14,ippc,tag7
11,shim6,tag1
19,ax.25,tag4
16,wb-expak,tag10
13,scc-sp,tag1
13,udplite,tag6
8,st,tag1
6,ifmp,tag7
14,min-ipv4,tag1
12,dccp,tag5
17,ipv6,tag8
13,ipv6-nonxt,tag7
8,idpr,tag2
18,leaf-1,tag4
17,narp,tag7
13,secure-vmtp,tag7
2,rsvp,tag2
14,igmp,tag2
10,leaf-2,tag5
4,xtp,tag1
12,ddp,tag1
16,igp,tag3
15,netblt,tag5
5,dgp,tag9
8,iso-ip,tag10
8,igmp,tag1
12,trunk-2,tag6
10,dcn-meas,tag10
8,ptp,tag6
9,gmtp,tag5
4,ipv4,tag5
12,sat-expak,tag1
13,ethernet,tag8
3,ippc,tag1
7,scps,tag9
0,eigrp,tag8
5,ipcv,tag3
1,vmtp,tag4
14,sprite-rpc,tag9
6,shim6,tag10
11,iatp,tag8
13,rohc,tag8
9,bbn-rcc-mon,tag3
7,rdp,tag8
6,trunk-2,tag1
3,iptm,tag9
11,igmp,tag10
7,hip,tag1
15,scc-sp,tag3
19,tcf,tag7
8,scps,tag8
17,idpr-cmtp,tag9
2,ipv6-nonxt,tag7
8,ipv6-frag,tag9
0,bna,tag10
3,il,tag2
16,cftp,tag9
6,dcn-meas,tag4
14,rvd,tag5
9,bna,tag8
11,cbt,tag1
1,xnet,tag4
16,argus (deprecated),tag5
13,trunk-1,tag7
2,ah,tag5
7,min-ipv4,tag5
13,mfe-nsp,tag10
15,mux,tag5
11,mux,tag8
11,ipv6,tag1
15,compaq-peer,tag3
18,igp,tag9
9,ipv4,tag2
17,ifmp,tag10
13,irtp,tag5
19,trunk-2,tag8
3,ipv6-icmp,tag9
2,kryptolan,tag5
8,dgp,tag3
8,micp (deprecated),tag8
4,ipv4,tag7
11,sps,tag6
12,ah,tag10
18,iso-ip,tag9
3,sprite-rpc,tag8
16,vrrp,tag10
7,l2tp,tag3
13,chaos,tag2
2,icmp,tag1
6,idrp,tag8
9,wb-expak,tag10
12,eigrp,tag10
11,hip,tag1
17,sun-nd,tag1
4,kryptolan,tag5
10,chaos,tag6
0,bbn-rcc-mon,tag10
5,pnni,tag1
2,micp (deprecated),tag4
14,cphb,tag9
1,sdrp,tag9
15,tp++,tag5
19,rohc,tag10
0,vrrp,tag2
1,wesp,tag5
19,pipe,tag10
1,cbt,tag7
19,ddx,tag1
5,swipe (deprecated),tag9
2,rdp,tag7
2,netblt,tag1
16,ipcv,tag2
9,ipcv,tag4
5,vines,tag7
3,mpls-in-ip,tag2
11,ifmp,tag2
0,a/n,tag3
15,ah,tag10
13,tcf,tag2
15,min-ipv4,tag9
6,crudp,tag10
6,ipv6,tag7
13,rohc,tag7
16,xnet,tag5
2,ipx-in-ip,tag10
9,egp,tag3
2,kryptolan,tag4
14,compaq-peer,tag1
17,aggfrag,tag2
15,hip,tag7
7,ax.25,tag10
16,pvp,tag1
18,iplt,tag6
5,sm (deprecated),tag4
9,idpr,tag4
2,swipe (deprecated),tag10
5,scps,tag3
18,cftp,tag2
13,pup,tag1
3,bna,tag9
19,dcn-meas,tag4
2,compaq-peer,tag4
3,ipv6-nonxt,tag8
1,ipv6-route,tag5
14,ethernet,tag1
10,iplt,tag5
15,dcn-meas,tag1
8,trunk-2,tag8
8,pipe,tag4
11,leaf-1,tag6
19,aggfrag,tag10
11,ipv6-frag,tag3
2,mtp,tag6
11,etherip,tag10
18,ipip,tag8
2,tlsp,tag10
1,mux,tag1
1,visa,tag6
4,ax.25,tag3
15,ah,tag8
15,udplite,tag2
10,aggfrag,tag6
8,mux,tag6
1,uti,tag8
8,ptp,tag7
19,qnx,tag3
19,vmtp,tag3
12,wb-expak,tag1
13,ipcv,tag3
11,sdrp,tag4
9,rdp,tag8
5,i-nlsp,tag2
6,leaf-1,tag5
10,manet,tag10
7,scps,tag4
13,ippc,tag8
4,swipe (deprecated),tag10
6,larp,tag7
11,vmtp,tag2
0,sscopmce,tag8
17,wesp,tag2
2,iso-ip,tag2
12,shim6,tag6
15,sscopmce,tag5
19,ifmp,tag1
15,rdp,tag6
12,ipcv,tag3
3,srp,tag3
14,wsn,tag3
19,ifmp,tag7
10,xtp,tag3
3,ipv6-opts,tag3
5,mtp,tag5
2,igp,tag5
15,cpnx,tag1
16,uti,tag5
11,wb-expak,tag2
2,mpls-in-ip,tag3
5,sprite-rpc,tag6
0,hmp,tag10
6,stp,tag2
18,netblt,tag10
7,nsh,tag6
4,udp,tag6
15,egp,tag5
10,udplite,tag4
4,crudp,tag5
5,sscopmce,tag1
5,merit-inp,tag8
5,manet,tag2
12,ggp,tag5
15,ggp,tag10
6,prm,tag8
9,ospfigp,tag8
18,nsfnet-igp,tag9
10,irtp,tag2
19,ptp,tag6
2,snp,tag5
17,scps,tag9
6,mfe-nsp,tag8
10,iptm,tag10
7,egp,tag5
6,argus (deprecated),tag10
14,aggfrag,tag5
9,st,tag3
16,rohc,tag2
2,rvd,tag3
11,ipv6-route,tag8
12,ospfigp,tag2
12,pipe,tag9
17,merit-inp,tag4
8,kryptolan,tag7
18,sprite-rpc,tag6
17,wb-expak,tag8
17,gmtp,tag5
12,tcp,tag5
12,sm (deprecated),tag7
13,srp,tag10
17,udp,tag9
10,wsn,tag7
6,ospfigp,tag4
3,iptm,tag7
3,min-ipv4,tag4
2,bna,tag9
16,nvp-ii,tag10
9,sm (deprecated),tag7
14,micp (deprecated),tag3
12,ipv6,tag8
18,egp,tag5
0,idrp,tag2
7,a/n,tag1
7,sdrp,tag10
13,fire,tag1
7,a/n,tag9
1,nsh,tag1
0,etherip,tag5
5,ipv6-frag,tag6
9,min-ipv4,tag2
0,larp,tag6
6,ipv6-icmp,tag6
8,crtp,tag8
5,dcn-meas,tag1
19,crudp,tag3
10,aris,tag7
13,smp,tag5
10,ipv6,tag6
9,ipx-in-ip,tag8
0,cphb,tag6
2,iptm,tag9
13,chaos,tag8
17,argus (deprecated),tag7
18,nsh,tag1
0,netblt,tag7
5,gre,tag7
9,ipv6-nonxt,tag9
16,rohc,tag3
9,hip,tag5
6,qnx,tag6
2,aris,tag4
0,fire,tag6
19,sps,tag9
18,compaq-peer,tag8
18,sps,tag1
5,fc,tag1
14,iplt,tag3
18,rdp,tag10
12,iatp,tag10
17,nsfnet-igp,tag6
14,ethernet,tag5
19,iso-tp4,tag9
4,xns-idp,tag5
6,sprite-rpc,tag3
15,3pc,tag7
3,sps,tag6
7,crtp,tag8
1,sun-nd,tag4
0,aris,tag9
12,rdp,tag3
19,iso-tp4,tag3
5,rdp,tag10
0,secure-vmtp,tag4
6,pnni,tag6
2,ipv6-icmp,tag10
4,nsh,tag9
12,mux,tag9
13,scc-sp,tag9
11,iso-tp4,tag10
2,icmp,tag3
13,narp,tag8
16,ethernet,tag7
14,ipv6,tag4
14,udplite,tag2
10,sctp,tag9
6,ipcomp,tag10
10,nvp-ii,tag2
9,bna,tag9
4,ipv6-icmp,tag9
7,manet,tag5
12,tlsp,tag9
4,tcf,tag10
1,mpls-in-ip,tag7
0,leaf-1,tag1
16,mfe-nsp,tag3
4,secure-vmtp,tag3
12,iso-tp4,tag7
19,iso-ip,tag3
3,udp,tag2
15,ippc,tag1
5,ipv6-opts,tag2
18,visa,tag9
9,trunk-2,tag1
6,smp,tag10
15,cpnx,tag2
17,dsr,tag7
1,xns-idp,tag8
4,sat-expak,tag3
13,xnet,tag9
8,emcon,tag3
11,snp,tag5
17,nvp-ii,tag9
8,ax.25,tag6
17,esp,tag3
2,il,tag6
9,qnx,tag2
2,mtp,tag1
12,igp,tag10
19,leaf-2,tag8
7,mtp,tag9
18,igp,tag3
15,emcon,tag3
16,ipx-in-ip,tag1
5,fire,tag7
1,emcon,tag9
1,crtp,tag8
9,irtp,tag2
10,ipcomp,tag8
4,sat-mon,tag10
0,min-ipv4,tag5
10,ipv4,tag6
13,bbn-rcc-mon,tag6
6,compaq-peer,tag5
1,pim,tag4
1,pipe,tag4
13,encap,tag10
11,ipx-in-ip,tag6
12,prm,tag7
8,ipv6-route,tag5
3,trunk-2,tag6
16,dccp,tag3
11,uti,tag4
16,tcp,tag10
19,sat-expak,tag5
2,scps,tag7
18,ipv6-frag,tag3
5,ipv6-frag,tag4
9,vines,tag9
15,snp,tag4
10,l2tp,tag8
1,merit-inp,tag4
8,pim,tag9
2,ipv6-icmp,tag1
3,manet,tag5
19,mfe-nsp,tag5
13,netblt,tag6
1,sscopmce,tag4
6,igp,tag9
0,cphb,tag3
0,hopopt,tag3
1,nsfnet-igp,tag2
18,crudp,tag3
15,scc-sp,tag4
12,rdp,tag7
15,idpr-cmtp,tag1
4,uti,tag2
12,ipv6-nonxt,tag5
6,min-ipv4,tag6
5,ddx,tag9
0,compaq-peer,tag6
7,iplt,tag3
5,mfe-nsp,tag2
10,br-sat-mon,tag5
12,cphb,tag8
14,trunk-2,tag1
3,ah,tag1
15,igp,tag4
16,rvd,tag5
10,skip,tag2
6,tcp,tag3
13,narp,tag3
9,snp,tag9
4,srp,tag4
7,ipv4,tag7
16,xtp,tag6
2,ethernet,tag2
4,larp,tag1
9,gmtp,tag8
17,ipip,tag9
8,ipv6-frag,tag1
0,iso-ip,tag8
15,ptp,tag5
18,bbn-rcc-mon,tag9
13,netblt,tag2
11,wesp,tag7
0,gre,tag1
16,ipip,tag9
11,ipv4,tag9
5,gre,tag6
11,qnx,tag3
0,gre,tag6
18,dgp,tag2
2,mux,tag3
18,ax.25,tag3
14,iso-tp4,tag4
14,argus (deprecated),tag8
1,pim,tag3
2,sm (deprecated),tag4
0,pnni,tag1
3,ddx,tag4
15,sps,tag5
3,hip,tag5
19,dccp,tag6
8,ipv6-route,tag1
16,ipv6,tag10
19,smp,tag6
1,igp,tag3
12,ipcv,tag9
1,scc-sp,tag6
18,rvd,tag10
8,ipv6-opts,tag9
12,il,tag6
12,larp,tag8
12,uti,tag7
8,merit-inp,tag10
0,ipcv,tag9
9,sun-nd,tag8
1,ptp,tag2
6,crudp,tag7
9,igmp,tag6
14,pnni,tag9
17,cbt,tag4
14,st,tag7
8,wsn,tag7
16,idpr,tag10
2,sdrp,tag8
1,pgm,tag2
10,scps,tag8
5,eigrp,tag6
3,ifmp,tag6
2,crtp,tag8
18,ipv6,tag4
5,iplt,tag8
14,sat-expak,tag9
15,ipv6-route,tag2
6,ifmp,tag10
13,egp,tag9
13,iatp,tag10
11,mpls-in-ip,tag8
15,kryptolan,tag8
16,snp,tag4
18,nsh,tag8
16,snp,tag3
6,mpls-in-ip,tag6
1,swipe (deprecated),tag7
15,pup,tag3
2,encap,tag4
17,pup,tag3
16,ddx,tag6
18,rsvp,tag10
18,vrrp,tag7
9,eigrp,tag1
2,mfe-nsp,tag8
6,narp,tag9
1,leaf-1,tag6
8,ipv6-route,tag9
15,micp (deprecated),tag9
5,vmtp,tag3
12,sun-nd,tag10
11,ethernet,tag3
3,leaf-1,tag4
18,ipv6-route,tag7
